[2025-01-13 22:34:36,881] botocore.credentials - INFO - Found credentials in shared credentials file: ~/.aws/credentials
[2025-01-13 22:34:37,154] root - INFO - Enterned into the start data ingestion method in the trainig pipeline
[2025-01-13 22:34:37,155] root - INFO - getting started with data from the url
[2025-01-13 22:34:37,163] root - INFO - Initiating data ingestion in the Data Ingestion class
[2025-01-13 22:34:37,164] root - INFO - Downloading file from Google Drive https://drive.google.com/uc?id=10iHvwk510kQiw45XN9zEBjBzY1mRpAz5 into artifacts\01_13_25_22_34_36\data_ingestion\downloaded_data.zip
[2025-01-13 22:34:41,958] root - INFO - Downloaded file from Google Drive into artifacts\01_13_25_22_34_36\data_ingestion\downloaded_data.zip
[2025-01-13 22:34:41,958] root - INFO - data downloaded from google drive
[2025-01-13 22:34:42,096] root - INFO - Extracted zip file from artifacts\01_13_25_22_34_36\data_ingestion\downloaded_data.zip into directory artifacts\01_13_25_22_34_36\data_ingestion\feature_store
[2025-01-13 22:34:42,097] root - INFO - Completed data ingestion
[2025-01-13 22:34:42,097] root - INFO - Data Ingestion Artifacts: DataIngestionArtifact(data_zip_file_path='artifacts\\01_13_25_22_34_36\\data_ingestion\\downloaded_data.zip', feature_store_path='artifacts\\01_13_25_22_34_36\\data_ingestion\\feature_store')
[2025-01-13 22:34:42,097] root - INFO - got the data from the url
[2025-01-13 22:34:42,097] root - INFO - Exited rom the start data ingestion method from the Training pipeline class
[2025-01-13 22:34:42,098] root - INFO - Enterned into the start data validation method in the training pipeline
[2025-01-13 22:34:42,098] root - INFO - Entered into initiating data validation class
[2025-01-13 22:34:42,105] root - INFO - dataset.yaml updated successfully at artifacts\01_13_25_22_34_36\data_ingestion\feature_store\images\data.yaml
[2025-01-13 22:34:42,105] root - INFO - Exited initiate data validation method of data validation class
[2025-01-13 22:34:42,105] root - INFO - Data validation artifact: DataValidationArtifact(validation_status=True)
[2025-01-13 22:34:42,107] root - INFO - perform the data validation operation
[2025-01-13 22:34:42,107] root - INFO - exited the start data validation method of training Pipeline class
[2025-01-13 22:34:42,108] root - INFO - Entered initiate_model_trainer method of ModelTrainer class
[2025-01-13 22:34:42,121] root - INFO - Number of classes: 7
[2025-01-13 22:34:42,121] root - INFO - Model configuration file name: yolov5s
[2025-01-13 22:34:42,121] root - INFO - Read yaml file successfully
[2025-01-13 23:16:37,148] root - INFO - Exited initiate_model_trainer method of ModelTrainer class
[2025-01-13 23:16:37,169] root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='yolov5/best.pt')
[2025-01-13 23:16:37,180] root - INFO - Entered initiate_model_pusher method of Modelpusher class
[2025-01-13 23:16:37,183] root - INFO - Entered the upload_file method of S3Operations class
[2025-01-13 23:16:37,183] root - INFO - Uploading yolov5/best.pt file to best.pt file in sign-lang-39 bucket
[2025-01-13 23:16:56,135] root - INFO - Uploaded yolov5/best.pt file to best.pt file in sign-lang-39 bucket
[2025-01-13 23:16:56,135] root - INFO - Remove is set to False, not deleted the file
[2025-01-13 23:16:56,136] root - INFO - Exited the upload_file method of S3Operations class
[2025-01-13 23:16:56,136] root - INFO - Uploaded best model to s3 bucket
[2025-01-13 23:16:56,136] root - INFO - Exited initiate_model_pusher method of ModelTrainer class
