[2025-01-15 17:03:56,782] botocore.credentials - INFO - Found credentials in shared credentials file: ~/.aws/credentials
[2025-01-15 17:03:57,160] root - INFO - Enterned into the start data ingestion method in the trainig pipeline
[2025-01-15 17:03:57,160] root - INFO - getting started with data from the url
[2025-01-15 17:03:57,168] root - INFO - Initiating data ingestion in the Data Ingestion class
[2025-01-15 17:03:57,169] root - INFO - Downloading file from Google Drive https://drive.google.com/uc?id=10iHvwk510kQiw45XN9zEBjBzY1mRpAz5 into artifacts\01_15_25_17_03_55\data_ingestion\downloaded_data.zip
[2025-01-15 17:04:05,073] root - INFO - Downloaded file from Google Drive into artifacts\01_15_25_17_03_55\data_ingestion\downloaded_data.zip
[2025-01-15 17:04:05,074] root - INFO - data downloaded from google drive
[2025-01-15 17:04:05,673] root - INFO - Extracted zip file from artifacts\01_15_25_17_03_55\data_ingestion\downloaded_data.zip into directory artifacts\01_15_25_17_03_55\data_ingestion\feature_store
[2025-01-15 17:04:05,673] root - INFO - Completed data ingestion
[2025-01-15 17:04:05,673] root - INFO - Data Ingestion Artifacts: DataIngestionArtifact(data_zip_file_path='artifacts\\01_15_25_17_03_55\\data_ingestion\\downloaded_data.zip', feature_store_path='artifacts\\01_15_25_17_03_55\\data_ingestion\\feature_store')
[2025-01-15 17:04:05,673] root - INFO - got the data from the url
[2025-01-15 17:04:05,674] root - INFO - Exited rom the start data ingestion method from the Training pipeline class
[2025-01-15 17:04:05,675] root - INFO - Enterned into the start data validation method in the training pipeline
[2025-01-15 17:04:05,676] root - INFO - Entered into initiating data validation class
[2025-01-15 17:04:05,688] root - INFO - dataset.yaml updated successfully at artifacts\01_15_25_17_03_55\data_ingestion\feature_store\images\data.yaml
[2025-01-15 17:04:05,688] root - INFO - Exited initiate data validation method of data validation class
[2025-01-15 17:04:05,688] root - INFO - Data validation artifact: DataValidationArtifact(validation_status=True)
[2025-01-15 17:04:05,701] root - INFO - perform the data validation operation
[2025-01-15 17:04:05,701] root - INFO - exited the start data validation method of training Pipeline class
[2025-01-15 17:04:05,701] root - INFO - Entered initiate_model_trainer method of ModelTrainer class
[2025-01-15 17:04:05,727] root - INFO - Number of classes: 7
[2025-01-15 17:04:05,727] root - INFO - Model configuration file name: yolov5m
[2025-01-15 17:04:05,744] root - INFO - Read yaml file successfully
[2025-01-15 17:11:25,191] root - INFO - Exited initiate_model_trainer method of ModelTrainer class
[2025-01-15 17:11:25,200] root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='yolov5/best.pt')
[2025-01-15 17:11:25,203] root - INFO - Entered initiate_model_pusher method of Modelpusher class
[2025-01-15 17:11:25,207] root - INFO - Entered the upload_file method of S3Operations class
[2025-01-15 17:11:25,208] root - INFO - Uploading yolov5/best.pt file to best.pt file in sign-lang-39 bucket
[2025-01-15 17:12:21,735] root - INFO - Uploaded yolov5/best.pt file to best.pt file in sign-lang-39 bucket
[2025-01-15 17:12:21,735] root - INFO - Remove is set to False, not deleted the file
[2025-01-15 17:12:21,735] root - INFO - Exited the upload_file method of S3Operations class
[2025-01-15 17:12:21,736] root - INFO - Uploaded best model to s3 bucket
[2025-01-15 17:12:21,736] root - INFO - Exited initiate_model_pusher method of ModelTrainer class
