[2025-01-13 21:33:32,877] botocore.credentials - INFO - Found credentials in shared credentials file: ~/.aws/credentials
[2025-01-13 21:33:33,219] root - INFO - Enterned into the start data ingestion method in the trainig pipeline
[2025-01-13 21:33:33,219] root - INFO - getting started with data from the url
[2025-01-13 21:33:33,227] root - INFO - Initiating data ingestion in the Data Ingestion class
[2025-01-13 21:33:33,228] root - INFO - Downloading file from Google Drive https://drive.google.com/uc?id=10iHvwk510kQiw45XN9zEBjBzY1mRpAz5 into artifacts\01_13_25_21_33_31\data_ingestion\downloaded_data.zip
[2025-01-13 21:33:37,472] root - INFO - Downloaded file from Google Drive into artifacts\01_13_25_21_33_31\data_ingestion\downloaded_data.zip
[2025-01-13 21:33:37,473] root - INFO - data downloaded from google drive
[2025-01-13 21:33:37,654] root - INFO - Extracted zip file from artifacts\01_13_25_21_33_31\data_ingestion\downloaded_data.zip into directory artifacts\01_13_25_21_33_31\data_ingestion\feature_store
[2025-01-13 21:33:37,654] root - INFO - Completed data ingestion
[2025-01-13 21:33:37,655] root - INFO - Data Ingestion Artifacts: DataIngestionArtifact(data_zip_file_path='artifacts\\01_13_25_21_33_31\\data_ingestion\\downloaded_data.zip', feature_store_path='artifacts\\01_13_25_21_33_31\\data_ingestion\\feature_store')
[2025-01-13 21:33:37,655] root - INFO - got the data from the url
[2025-01-13 21:33:37,655] root - INFO - Exited rom the start data ingestion method from the Training pipeline class
[2025-01-13 21:33:37,656] root - INFO - Enterned into the start data validation method in the training pipeline
[2025-01-13 21:33:37,656] root - INFO - Entered into initiating data validation class
[2025-01-13 21:33:37,658] root - INFO - Exited initiate data validation method of data validation class
[2025-01-13 21:33:37,658] root - INFO - Data validation artifact: DataValidationArtifact(validation_status=False)
[2025-01-13 21:33:37,658] root - INFO - perform the data validation operation
[2025-01-13 21:33:37,658] root - INFO - exited the start data validation method of training Pipeline class
